env,profit1,profit2
0,1005.475,1270.25
0,1369.2,2371.05
0,1503.725,1863.625
0,1557.625,2438.5
0,1243.325,1728.25
0,1290.275,2105.575
0,1623.35,2106.2
0,1105.8,1800.35
0,1202.5,2334.95
0,1208.1,2385.2
0,1083.3,2197.675
0,1372.15,2061.275
0,1218.5,3273.9
0,865.625,2108.075
0,1349.225,2340.525
0,1009.8,1693.75
0,1359.7,1867.525
0,1647.75,2587.725
0,1455.75,2299.075
0,1286.1,1681.85
0,1078.275,2164.375
0,923.375,2267.15
0,1201.125,2198.375
0,1239.175,3029.875
0,1524.725,2130.05
0,1490.05,2317.375
0,734.15,2681.35
0,1002.725,1915.1
0,1534.9,1600.4
0,1510.45,2372.6
0,1348.0,2064.275
0,1037.475,2226.725
0,1310.525,2489.775
0,1206.85,2356.2
0,797.05,2530.375
0,1456.175,2534.575
0,1154.5,2231.8
0,684.95,2687.45
0,1117.0,1890.4
0,1232.425,2375.5
0,1281.975,2659.55
0,965.55,1643.825
0,1324.0,2574.575
0,1141.575,2095.95
0,1195.775,2367.025
0,1110.05,2383.85
0,599.2,2094.65
0,1645.825,1837.5
0,1343.45,2560.0
0,1208.65,2855.25
0,689.0,1745.85
0,1164.925,1901.425
0,1129.85,2414.25
0,1145.05,1951.2
0,1023.25,1442.2
0,1232.6,2048.3
0,773.525,2665.4
0,1386.375,2621.025
0,1247.35,1623.225
0,1207.875,2261.05
0,1446.4,1830.05
0,1765.0,1287.225
0,1547.6,1953.3
0,1585.475,1987.95
0,927.95,2072.975
0,1279.075,2352.6
0,949.55,2653.4
0,1575.8,2615.925
0,1525.05,2169.15
0,804.65,1766.95
0,1663.675,2078.15
0,1200.875,2391.075
0,973.75,2291.875
0,1370.85,2227.85
0,810.025,2471.375
0,1122.75,2139.375
0,1210.175,2056.875
0,1317.075,2252.075
0,1181.5,2416.925
0,1212.8,2416.5
0,692.35,2636.35
0,1378.925,2407.075
0,1131.35,1976.175
0,971.25,1565.7
0,1323.125,2168.5
0,1570.025,1445.85
0,1172.5,1829.375
0,1601.15,2555.15
0,1260.275,2578.0
0,1164.025,1592.975
0,798.875,2477.075
0,1518.05,2229.65
0,886.725,2873.775
0,1445.125,2717.25
0,1367.825,2420.325
0,1536.65,2470.575
0,837.5,2640.85
0,1131.95,2109.075
0,1234.1,2857.025
0,1254.325,2116.05
1,1083.8,2480.575
1,1268.85,2583.75
1,1311.1,2608.075
1,1687.55,2159.4
1,1279.725,2483.575
1,1367.325,1886.3
1,1602.9,1750.625
1,1110.1,2076.175
1,843.475,2739.75
1,1347.775,2401.05
1,1186.65,2339.45
1,1104.775,2109.5
1,1441.675,2849.75
1,1484.875,2868.4
1,1440.6,2503.825
1,1289.2,1893.3
1,1443.925,2096.25
1,1416.3,1526.5
1,1624.1,2383.825
1,1104.275,1570.2
1,887.925,2323.075
1,1373.45,1456.45
1,1115.6,2522.025
1,1257.475,2666.075
1,1062.8,2030.15
1,759.15,2901.975
1,1001.15,2227.025
1,838.35,1926.175
1,995.15,3297.325
1,1422.375,1383.45
1,1393.4,1992.7
1,1258.775,3351.55
1,928.05,1956.45
1,943.525,2547.325
1,1642.575,1873.125
1,1611.175,2471.975
1,1637.15,2190.475
1,987.15,2627.75
1,886.475,1767.8
1,1541.825,1684.55
1,1147.65,1658.175
1,1389.1,2020.95
1,1503.725,2010.7
1,722.0,2928.575
1,884.725,2847.3
1,921.675,3032.05
1,942.775,2563.75
1,1131.525,2979.95
1,1186.3,2725.15
1,1374.975,2286.9
1,1490.2,1531.45
1,1386.75,2292.425
1,1611.475,1991.175
1,1227.9,2176.55
1,1230.925,2233.375
1,1057.225,2581.9
1,830.775,2040.9
1,1637.6,2458.3
1,909.9,1969.225
1,1047.225,1715.125
1,1088.1,2483.2
1,1300.025,2354.85
1,1434.85,2181.55
1,1311.5,1552.55
1,1324.6,2590.45
1,1100.7,2502.325
1,1195.25,2916.45
1,1562.7,1791.95
1,1277.825,3174.25
1,1559.7,2114.525
1,1119.625,2089.175
1,1025.825,1839.65
1,1491.85,1772.575
1,1563.8,1830.95
1,815.85,2301.5
1,1595.525,2420.95
1,1004.5,2367.375
1,881.1,2583.1
1,1095.625,2628.775
1,1489.825,1568.45
1,1175.225,2128.475
1,1208.3,2463.45
1,871.85,2134.375
1,1292.225,1994.975
1,1630.025,2179.425
1,1432.875,2488.25
1,1173.9,1878.675
1,1198.175,2750.975
1,1519.45,2343.7
1,826.95,2244.3
1,988.575,1896.75
1,1177.325,2398.675
1,1182.525,1902.375
1,1264.675,2614.875
1,1029.225,2479.3
1,961.6,2563.425
1,1536.25,2241.85
1,1378.25,1706.45
1,950.6,1484.75
1,1057.4,1443.375
